Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
HP18 9UH,Yes,51.839334,-1.052377,465385,216061,SP653160,Launton and Otmoor,Piddington,1980-01-01,,97,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028500,Cherwell 016D,E01028500,Cherwell 016D
HP18 9UY,Yes,51.832923,-1.086202,463064,215318,SP630153,Launton and Otmoor,Piddington,1980-01-01,,119,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028500,Cherwell 016D,E01028500,Cherwell 016D
HP18 9UZ,Yes,51.844191,-1.091426,462688,216567,SP626165,Launton and Otmoor,Arncott,1980-01-01,,83,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028500,Cherwell 016D,E01028500,Cherwell 016D
HP18 9XA,Yes,51.839529,-1.078151,463609,216060,SP636160,Launton and Otmoor,Piddington,1980-01-01,,116,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028500,Cherwell 016D,E01028500,Cherwell 016D
HP18 9XB,Yes,51.838834,-1.075124,463819,215985,SP638159,Launton and Otmoor,Piddington,1980-01-01,,117,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028500,Cherwell 016D,E01028500,Cherwell 016D
HP18 9XD,Yes,51.834703,-1.068134,464306,215532,SP643155,Launton and Otmoor,Piddington,1980-01-01,,172,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028500,Cherwell 016D,E01028500,Cherwell 016D
HP18 9XP,No,51.839586,-1.079289,463531,216065,SP635160,Launton and Otmoor,Piddington,1991-09-01,1997-06-01,117,England,2024-12-20,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01028500,Cherwell 016D,E01028500,Cherwell 016D
HP18 9XR,No,51.839586,-1.079289,463531,216065,SP635160,Launton and Otmoor,Piddington,1992-01-01,1997-08-01,117,England,2024-12-20,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01028500,Cherwell 016D,E01028500,Cherwell 016D
HP18 9XS,No,51.839586,-1.079289,463531,216065,SP635160,Launton and Otmoor,Piddington,1996-12-01,1997-07-01,117,England,2024-12-20,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01028500,Cherwell 016D,E01028500,Cherwell 016D
MK18 4AD,Yes,51.991950,-1.077187,463461,233013,SP634330,Fringford and Heyfords,Finmere,1997-06-01,,118,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AH,Yes,51.987654,-1.095901,462182,232519,SP621325,Fringford and Heyfords,Finmere,1980-01-01,,129,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AJ,Yes,51.993848,-1.092324,462419,233211,SP624332,Fringford and Heyfords,Finmere,1980-01-01,,126,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AL,Yes,51.990642,-1.075481,463580,232869,SP635328,Fringford and Heyfords,Finmere,1980-01-01,,118,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AN,Yes,51.989159,-1.070866,463899,232708,SP638327,Fringford and Heyfords,Finmere,1983-03-01,,120,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AP,Yes,51.990197,-1.072519,463784,232822,SP637328,Fringford and Heyfords,Finmere,1980-01-01,,118,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AQ,Yes,51.987519,-1.076113,463541,232521,SP635325,Fringford and Heyfords,Finmere,1980-01-01,,120,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AR,Yes,51.989813,-1.071799,463834,232780,SP638327,Fringford and Heyfords,Finmere,1980-01-01,,119,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AS,Yes,51.992933,-1.078518,463368,233121,SP633331,Fringford and Heyfords,Finmere,1980-01-01,,116,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AT,Yes,51.996495,-1.068573,464046,233526,SP640335,Fringford and Heyfords,Finmere,1980-01-01,,117,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AU,Yes,51.976972,-1.084159,463003,231341,SP630313,Fringford and Heyfords,Newton Purcell with Shelswell,1980-01-01,,111,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AW,Yes,51.990032,-1.070979,463890,232805,SP638328,Fringford and Heyfords,Finmere,1980-01-01,,117,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AX,Yes,51.973427,-1.090801,462552,230941,SP625309,Fringford and Heyfords,Newton Purcell with Shelswell,1980-01-01,,117,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AY,Yes,51.972847,-1.091351,462515,230876,SP625308,Fringford and Heyfords,Newton Purcell with Shelswell,1980-01-01,,116,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4AZ,Yes,51.969933,-1.091294,462523,230552,SP625305,Fringford and Heyfords,Newton Purcell with Shelswell,1980-01-01,,109,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4BE,Yes,51.989538,-1.074543,463646,232747,SP636327,Fringford and Heyfords,Finmere,2002-07-01,,121,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4BG,Yes,51.991424,-1.075436,463582,232956,SP635329,Fringford and Heyfords,Finmere,1980-01-01,,116,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4BH,Yes,51.988939,-1.069225,464012,232685,SP640326,Fringford and Heyfords,Finmere,2001-06-01,,119,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4BJ,No,51.990231,-1.075752,463562,232823,SP635328,Fringford and Heyfords,Finmere,1980-01-01,2008-06-01,120,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4BQ,Yes,51.991055,-1.076536,463507,232914,SP635329,Fringford and Heyfords,Finmere,1980-01-01,,120,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4BW,Yes,51.990135,-1.076190,463532,232812,SP635328,Fringford and Heyfords,Finmere,2003-02-01,,121,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
MK18 4DH,Yes,51.989600,-1.068760,464043,232759,SP640327,Fringford and Heyfords,Finmere,1999-12-01,,117,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5JZ,Yes,52.007530,-1.090675,462513,234734,SP625347,Fringford and Heyfords,Mixbury,1980-01-01,,98,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RF,Yes,52.002296,-1.114281,460900,234132,SP609341,Fringford and Heyfords,Mixbury,1992-01-01,,120,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RG,Yes,52.002041,-1.113820,460932,234104,SP609341,Fringford and Heyfords,Mixbury,1980-01-01,,121,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RH,Yes,51.987693,-1.158242,457901,232472,SP579324,Fringford and Heyfords,Cottisford,1980-01-01,,133,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028484,Cherwell 011E,E01028484,Cherwell 011E
NN13 5RJ,Yes,52.001623,-1.114411,460892,234057,SP608340,Fringford and Heyfords,Mixbury,1980-01-01,,121,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RL,Yes,52.004427,-1.119149,460563,234365,SP605343,Fringford and Heyfords,Mixbury,1980-01-01,,121,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
NN13 5RN,Yes,51.987829,-1.114217,460924,232523,SP609325,Fringford and Heyfords,Mixbury,1980-01-01,,122,England,2024-12-20,Within the building of the matched address closest to the postcode mean,E01028483,Cherwell 011D,E01028483,Cherwell 011D
